科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
インターンシップ,2.0,専門教育科目,情報応用科目,自然科学技術,選択,34,通年,,集中講義,,,,
情報メディア基礎ゼミ,2.0,専門教育科目,情報応用科目,自然科学技術,必修,3,前期,,,,,,
情報メディア総合演習,2.0,専門教育科目,情報応用科目,自然科学技術,必修,3,後期,,3年次後期開始時に留年が確定している場合は履修不可【アセスメント科目】,,,,
卒業研究A,2.0,専門教育科目,情報応用科目,自然科学技術,必修,4,通年,,集中講義,,,,
卒業研究B,4.0,専門教育科目,情報応用科目,自然科学技術,選択,4,通年,,集中講義,,,,
データ解析,2.0,専門教育科目,ユニット専門科目,デＡーＩタ応サ用イ分エ野ンス・,選択,34,前期,,,,,,
人工知能,2.0,専門教育科目,ユニット専門科目,デＡーＩタ応サ用イ分エ野ンス・,選択,34,前期,160工業,,,,,
自然言語処理,2.0,専門教育科目,ユニット専門科目,デＡーＩタ応サ用イ分エ野ンス・,選択,34,前期,1310情②,,,,,
知的処理および演習,2.0,専門教育科目,ユニット専門科目,デＡーＩタ応サ用イ分エ野ンス・,選択,34,前期,1320情③,,,,,
数理最適化,2.0,専門教育科目,ユニット専門科目,デＡーＩタ応サ用イ分エ野ンス・,選択,34,後期,112解析,,,,,
機械学習および演習,2.0,専門教育科目,ユニット専門科目,デＡーＩタ応サ用イ分エ野ンス・,選択,34,後期,1310情②,,,,,
CGモデリングおよび演習,3.0,専門教育科目,ユニット専門科目,コンクピスュ・ーｘタＲグ分ラ野フィッ,選択,3,前期,1340情⑤,,,,,
CGレンダリングおよび演習,3.0,専門教育科目,ユニット専門科目,コンクピスュ・ーｘタＲグ分ラ野フィッ,選択,3,後期,1340情⑤,,,,,
コンピュータアニメーションおよび演習,2.0,専門教育科目,ユニット専門科目,コンクピスュ・ーｘタＲグ分ラ野フィッ,選択,4,前期,1340情⑤,,,,,
