科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅰ,2.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
基礎物理学,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,後期は再履修クラスの開講,,,,
物理基礎および物理実験,1.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,週2コマ開講「化学基礎および化学実験」との隔週開講,,,,
化学基礎および化学実験,1.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,週2コマ開講「物理基礎および物理実験」との隔週開講,,,,
物理学概論および演習A,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,後期,,,,,,
物理学概論および演習B,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,後期,,,,,,
物理学概論および演習C,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,後期,,,,,,
科学技術概論A,2.0,共通教育科目,工学基礎科目,自然科学技術,択一必修,1,前期／後期,,択一必修（左記の科目から2単位を修得すること）,,,,
科学技術概論B,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
ワークショップ,2.0,共通教育科目,工学基礎科目,シ ョ ッ プ ワ ー ク,必修,2,前期,,夏期集中講義,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,共通教育科目,工学基礎科目,情報,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,共通教育科目,工学基礎科目,情報,必修,1,後期,基礎要件,,,,,
化学Ⅰ,2.0,専門教育科目,基盤科目,応用化学系,必修,1,前期,122 化学,,,,,
化学Ⅱ,2.0,専門教育科目,基盤科目,応用化学系,必修,1,後期,122 化学,,,,,
化学演習Ⅰ,2.0,専門教育科目,基盤科目,応用化学系,選択,1,前期,122 化学,,,,,
化学演習Ⅱ,2.0,専門教育科目,基盤科目,応用化学系,選択,1,後期,122 化学,,,,,
応用化学実験,2.0,専門教育科目,基盤科目,応用化学系,必修,1,後期,123 化実,,,,,
環境と化学,2.0,専門教育科目,基盤科目,応用化学系,必修,1,後期,,,,,,
コンピューター化学,2.0,専門教育科目,基盤科目,応用化学系,選択,2,後期,122 化学,,,,,
環境物質学,2.0,専門教育科目,基盤科目,応用化学系,選択,34,前期,,,,,,
卒業研究,6.0,専門教育科目,基盤科目,応用化学系,必修,4,通年,,,,,,
インターンシップ,2.0,専門教育科目,基盤科目,キャリア系,選択,3,後期,,,,,,
応用化学総合演習Ⅰ,2.0,専門教育科目,基盤科目,キャリア系,選択,3,前期,,,,,,
応用化学総合演習Ⅱ,2.0,専門教育科目,基盤科目,キャリア系,必修,3,後期,,アセスメント科目,,,,
物理化学Ⅰ,2.0,専門教育科目,基幹科目,物理化学系,必修,2,前期,122 化学,,,,,
物理化学Ⅱ,2.0,専門教育科目,基幹科目,物理化学系,必修,2,後期,122 化学,,,,,
物理化学演習Ⅰ,2.0,専門教育科目,基幹科目,物理化学系,選択,2,前期,122 化学,,,,,
物理化学演習Ⅱ,2.0,専門教育科目,基幹科目,物理化学系,選択,2,後期,122 化学,,,,,
物理化学実験,1.0,専門教育科目,基幹科目,物理化学系,必修,2,前期,123 化実,,,,,
量子化学,2.0,専門教育科目,基幹科目,物理化学系,選択,34,前期,,,,,,
化学熱力学,2.0,専門教育科目,基幹科目,物理化学系,選択,3,後期,,,,,,
応用物理化学実験,1.0,専門教育科目,基幹科目,物理化学系,必修,3,後期,123 化実,,,,,
光化学,2.0,専門教育科目,基幹科目,物理化学系,選択,34,後期,,,,,,
有機化学Ⅰ,2.0,専門教育科目,基幹科目,有機化学系,必修,1,後期,122 化学,,,,,
有機化学Ⅱ,2.0,専門教育科目,基幹科目,有機化学系,必修,2,前期,122 化学,,,,,
有機化学Ⅲ,2.0,専門教育科目,基幹科目,有機化学系,必修,2,後期,122 化学,,,,,
有機化学演習A,2.0,専門教育科目,基幹科目,有機化学系,選択,2,前期,122 化学,,,,,
有機化学演習B,2.0,専門教育科目,基幹科目,有機化学系,選択,2,後期,122 化学,,,,,
有機化学実験,1.0,専門教育科目,基幹科目,有機化学系,必修,2,後期,123 化実,,,,,
応用有機化学実験,1.0,専門教育科目,基幹科目,有機化学系,必修,3,前期,123 化実,,,,,
有機合成化学,2.0,専門教育科目,基幹科目,有機化学系,選択,34,前期,122 化学,,,,,
高分子物性学,2.0,専門教育科目,基幹科目,有機化学系,選択,3,前期,122 化学,,,,,
高分子合成学,2.0,専門教育科目,基幹科目,有機化学系,選択,3,前期,,,,,,
錯体化学,2.0,専門教育科目,基幹科目,有機化学系,選択,34,後期,122 化学,,,,,
無機化学Ⅰ,2.0,専門教育科目,基幹科目,無機・分析化学系,必修,1,後期,122 化学,,,,,
無機化学Ⅱ,2.0,専門教育科目,基幹科目,無機・分析化学系,必修,2,前期,122 化学,,,,,
分析化学,2.0,専門教育科目,基幹科目,無機・分析化学系,必修,2,前期,,,,,,
無機・分析化学実験,1.0,専門教育科目,基幹科目,無機・分析化学系,必修,2,前期,123 化実,,,,,
応用無機・分析化学実験,1.0,専門教育科目,基幹科目,無機・分析化学系,必修,3,後期,123 化実,,,,,
無機材料工学,2.0,専門教育科目,基幹科目,無機・分析化学系,選択,34,後期,,,,,,
電気化学,2.0,専門教育科目,基幹科目,無機・分析化学系,選択,3,前期,,,,,,
機器分析学,2.0,専門教育科目,基幹科目,無機・分析化学系,選択,34,前期,,,,,,
機器分析学演習,2.0,専門教育科目,基幹科目,無機・分析化学系,選択,3,後期,,,,,,
化学工学Ⅰ,2.0,専門教育科目,基幹科目,化学工学系,必修,2,前期,,,,,,
化学工学Ⅱ,2.0,専門教育科目,基幹科目,化学工学系,選択,2,後期,,,,,,
化学工学演習,2.0,専門教育科目,基幹科目,化学工学系,選択,2,前期,,,,,,
化学工学実験,1.0,専門教育科目,基幹科目,化学工学系,必修,2,後期,,,,,,
生物化学,2.0,専門教育科目,基幹科目,化学工学系,選択,2,後期,124 生物,,,,,
応用化学工学実験,1.0,専門教育科目,基幹科目,化学工学系,必修,3,前期,,,,,,
反応工学,2.0,専門教育科目,基幹科目,化学工学系,選択,3,前期,,,,,,
生物化学工学,2.0,専門教育科目,基幹科目,化学工学系,選択,3,後期,,,,,,
微分方程式Ⅰ,2.0,専門教育科目,基幹科目,数学,選択,2,前期,,,,,,
数値解析学,2.0,専門教育科目,基幹科目,数学,選択,2,後期,,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,基幹科目,数学,選択,1,後期,,,,,,
線形代数学Ⅱ,2.0,専門教育科目,基幹科目,数学,選択,1,後期,,,,,,
地球環境科学,2.0,専門教育科目,基幹科目,物理学,選択,2,前期,126 地学,,,,,
物性物理学,2.0,専門教育科目,基幹科目,物理学,選択,2,後期,120 物理,,,,,
固体物性,2.0,専門教育科目,基幹科目,物理学,選択,3,前期,120 物理,,,,,
地学,2.0,専門教育科目,教職科目,物理学,選択,2,後期,126 地学,,,,,
生体触媒工学,2.0,専門教育科目,教職科目,物理学,選択,3,前期,124 生物,,,,,
総合物理学実験,1.0,専門教育科目,教職科目,物理学,自由,2,後期,121 物実,集中科目,,,,
生物学実験,1.0,専門教育科目,教職科目,物理学,自由,2,後期,125 生実,集中科目,,,,
地学実験,2.0,専門教育科目,教職科目,物理学,自由,1,前期,127 地実,夏期集中講義,,,,
総合物理学,2.0,専門教育科目,教職科目,物理学,選択,2,前期,120 物理,,,,,
