科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
先端機械実験実習Ⅰ,2.0,専門科目,機械発展,実験・実習,必修,3,前期,160工業・1710機電,,,,,
先端機械実験実習Ⅱ,2.0,専門科目,機械発展,実験・実習,必修,3,後期,160工業・1710機電,,,,,
機械設計製図Ⅰ,2.0,専門科目,機械発展,製図,必修,2,前期,160工業・1710機電,,,,,
機械設計製図Ⅱ,2.0,専門科目,機械発展,製図,必修,2,後期,1340情⑤,,,,,
先端機械設計製図Ⅰ,2.0,専門科目,機械発展,製図,必修,3,前期,1340情⑤,,,,,
先端機械設計製図Ⅱ,2.0,専門科目,機械発展,製図,必修,3,後期,1340情⑤,,,,,
先端機械工学総合演習,2.0,専門科目,機械発展,卒業研究,必修,3,後期,,アセスメント科目,,,,
卒業研究,6.0,専門科目,機械発展,卒業研究,必修,4,通年,,,,,,
プレゼンテーション,1.0,専門科目,キャリア・コミュニケーション・プレゼンテーション,卒業研究,選択,3,四半期（前前）,,,,,,
キャリアデザイン,1.0,専門科目,キャリア・コミュニケーション・プレゼンテーション,卒業研究,選択,3,四半期（前後）,,,,,,
インターンシップ,2.0,専門科目,キャリア・コミュニケーション・プレゼンテーション,卒業研究,選択,34,通年,,,,,,
職業指導,2.0,専門科目,教職関連,卒業研究,自由,3,前期,161職指,,,,,
コンピュータ基礎および演習Ⅲ,2.0,専門科目,教職関連,卒業研究,自由,2,前期,1310情②,,,,,
情報システムの基礎および演習,2.0,専門科目,教職関連,卒業研究,自由,2,後期,1320情③,,,,,
情報通信ネットワークの基礎および演習,2.0,専門科目,教職関連,卒業研究,自由,2,後期,1330情④,,,,,
マルチメディア表現技術の基礎および演習,2.0,専門科目,教職関連,卒業研究,自由,2,前期,1340情⑤,,,,,
栽培,1.0,専門科目,教職関連,卒業研究,自由,2,前期,1720生物,集中科目,,,,
工業技術概論,2.0,専門科目,教職関連,卒業研究,自由,3,後期,160工業,,,,,
