科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅰ,2.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
基礎物理学,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,後期は再履修クラスの開講,,,,
物理基礎および物理実験,1.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,週2コマ開講「化学基礎および化学実験」との隔週開講,,,,
化学基礎および化学実験,1.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,週2コマ開講「物理基礎および物理実験」との隔週開講,,,,
物理学概論および演習A,2.0,共通教育科目,工学基礎科目,自然科学技術,択一必修,1,後期,,択一必修（左記の科目から2単位を修得すること）,,,,
物理学概論および演習B,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,後期,,,,,,
物理学概論および演習C,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,後期,,,,,,
科学技術概論A,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論B,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
ワークショップ,2.0,共通教育科目,工学基礎科目,シ ョ ッ プ ワ ー ク,必修,1,後期,,,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,共通教育科目,工学基礎科目,情報,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,共通教育科目,工学基礎科目,情報,必修,1,後期,基礎要件,,,,,
デザイン工学基礎実習,2.0,専門教育科目,実習・演習・プロジェクト,情報,必修,1,前期,,,,,,
デザイン工学PBL－A,2.0,専門教育科目,実習・演習・プロジェクト,情報,必修,2,前期,,,,,,
デザイン工学PBL－B,2.0,専門教育科目,実習・演習・プロジェクト,情報,必修,2,後期,,,,,,
デザイン工学プロジェクトA,2.0,専門教育科目,実習・演習・プロジェクト,情報,必修,3,前期,,,,,,
デザイン工学プロジェクトB,2.0,専門教育科目,実習・演習・プロジェクト,情報,必修,3,後期,,,,,,
システムデザイン工学FBL－A,2.0,専門教育科目,実習・演習・プロジェクト,情報,選択,34,前期,,学部共通科目,,,,
システムデザイン工学FBL－B,2.0,専門教育科目,実習・演習・プロジェクト,情報,選択,34,後期,,学部共通科目,,,,
卒業研究A,2.0,専門教育科目,実習・演習・プロジェクト,情報,必修,4,通年,,,,,,
卒業研究B,4.0,専門教育科目,実習・演習・プロジェクト,情報,必修,4,通年,,,,,,
デザイン工学概論Ⅰ,2.0,専門教育科目,学科基礎,情報,必修,1,前期,,,,,,
デザイン工学概論Ⅱ,2.0,専門教育科目,学科基礎,情報,必修,1,後期,,,,,,
技術日本語表現法,2.0,専門教育科目,学科基礎,情報,必修,1,後期,,,,,,
回路理論および演習,3.0,専門教育科目,学科基礎,情報,必修,2,前期,160工業・1710機電,,,,,
材料力学,2.0,専門教育科目,学科基礎,情報,必修,2,前期,160工業,,,,,
コンピュータプログラミングⅡ,2.0,専門教育科目,学科基礎,情報,必修,2,前期,1310情②,,,,,
情報数学,2.0,専門教育科目,学科基礎,情報,必修,2,前期,,,,,,
ディジタル信号処理,3.0,専門教育科目,学科基礎,情報,必修,2,後期,1320情③,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,専門数学,情報,選択,1,後期,,,,,,
微分方程式Ⅰ,2.0,専門教育科目,専門数学,情報,選択,1,後期,,,,,,
線形代数学Ⅱ,2.0,専門教育科目,専門数学,情報,選択,1,後期,,,,,,
確率・統計,2.0,専門教育科目,専門数学,情報,選択,1,後期,,,,,,
人間中心設計,2.0,専門教育科目,デザイン手法,情報,選択,2,前期,,,,,,
色彩・構成論,2.0,専門教育科目,デザイン手法,情報,選択,2,前期,,,,,,
環境心理学,2.0,専門教育科目,デザイン手法,情報,選択,2,前期／後期,,,,,,
感性計測,2.0,専門教育科目,デザイン手法,情報,選択,2,後期,160工業,,,,,
インタラクションデザイン,2.0,専門教育科目,デザイン手法,情報,選択,3,後期,,,,,,
デザインのための認知科学,2.0,専門教育科目,人科 学 間 ・ 社会,情報,必修,2,前期,,,,,,
デザインのための社会科学,2.0,専門教育科目,人科 学 間 ・ 社会,情報,必修,2,後期,,,,,,
社会・認知心理学,2.0,専門教育科目,人科 学 間 ・ 社会,情報,選択,3,前期,,,,,,
視覚デザイン基礎,2.0,専門教育科目,デザイン実践,情報,選択,2,後期,,,,,,
UX概論,2.0,専門教育科目,デザイン実践,情報,選択,2,後期,,,,,,
環境デザイン概論,2.0,専門教育科目,デザイン実践,情報,選択,3,前期,,,,,,
コンピュータグラフィックス,2.0,専門教育科目,デザイン実践,情報,選択,3,前期,1340情⑤,,,,,
インストラクショナルデザイン,2.0,専門教育科目,デザイン実践,情報,選択,34,前期,,,,,,
プロダクト・デザイン,2.0,専門教育科目,デザイン実践,情報,選択,3,前期,,,,,,
環境工学・構法概論,2.0,専門教育科目,デザイン実践,情報,選択,3,後期,160工業,旧カリ「デザインのための建築構造・構法・材料」同時開講,,,,
UXデザイン,2.0,専門教育科目,デザイン実践,情報,選択,3,後期,,,,,,
VR環境デザイン,2.0,専門教育科目,デザイン実践,情報,選択,3,後期,1340情⑤,,,,,
電磁気学および演習,3.0,専門教育科目,工学専門,電気電子系,選択,2,後期,160工業・1710機電,,,,,
電子回路,2.0,専門教育科目,工学専門,電気電子系,選択,3,前期,160工業・1710機電,,,,,
信号処理応用,2.0,専門教育科目,工学専門,電気電子系,選択,3,前期,1340情⑤,,,,,
音響工学,2.0,専門教育科目,工学専門,電気電子系,選択,34,前期／後期,160工業,,,,,
応用音響工学,2.0,専門教育科目,工学専門,電気電子系,選択,3,後期,,,,,,
計測工学,2.0,専門教育科目,工学専門,電気電子系,選択,34,後期,160工業・1710機電,,,,,
材料と加工学,2.0,専門教育科目,工学専門,機械系,選択,2,後期,160工業・1700材料,,,,,
機械力学,2.0,専門教育科目,工学専門,機械系,選択,2,後期,160工業,,,,,
機構・機械要素設計,2.0,専門教育科目,工学専門,機械系,選択,3,前期／後期,160工業・1710機電,,,,,
生体工学,2.0,専門教育科目,工学専門,機械系,選択,34,後期,160工業,,,,,
モデルベースデザイン,2.0,専門教育科目,工学専門,機械系,選択,3,後期,160工業・1710機電,,,,,
コンピュータアーキテクチャ,2.0,専門教育科目,工学専門,情報系,選択,2,前期,1310情②・1730情報,,,,,
通信とネットワーク,2.0,専門教育科目,工学専門,情報系,選択,2,後期,1330情④,,,,,
プログラム工学,2.0,専門教育科目,工学専門,情報系,選択,2,後期,1310情②・1730情報,,,,,
マルチメディア構成と演習,2.0,専門教育科目,工学専門,情報系,選択,3,前期,1340情⑤,,,,,
データ構造とアルゴリズム,2.0,専門教育科目,工学専門,情報系,選択,3,後期,1310情②・1730情報,,,,,
データベースと情報検索,2.0,専門教育科目,工学専門,情報系,選択,34,前期,1320情③,,,,,
IoT組み込みプログラミング,2.0,専門教育科目,工学専門,情報系,選択,34,前期,1310情②・1730情報,,,,,
インターンシップ,2.0,専門教育科目,キ教ャ育リア,情報系,選択,34,通年,,,,,,
デザイン工学総合ゼミⅠ,1.0,専門教育科目,キ教ャ育リア,情報系,必修,3,前期,,アセスメント科目,,,,
デザイン工学総合ゼミⅡ,1.0,専門教育科目,キ教ャ育リア,情報系,必修,3,後期,,アセスメント科目,,,,
職業指導,2.0,教職科目,キ教ャ育リア,情報系,自由,3,前期,161職指,,,,,
栽培,1.0,教職科目,キ教ャ育リア,情報系,自由,2,前期,1720生物,前期集中,,,,
工業技術概論,2.0,教職科目,キ教ャ育リア,情報系,自由,3,後期,160工業,,,,,
