科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅰ,2.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅱ,2.0,共通教育科目,工学基礎科目,数学,必修,1,後期,110代数,,,,,
物理基礎および物理実験,1.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,週2コマ開講「化学基礎および化学実験」との隔週開講,,,,
化学基礎および化学実験,1.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,週2コマ開講「物理基礎および物理実験」との隔週開講,,,,
物理学概論および演習A,2.0,共通教育科目,工学基礎科目,自然科学技術,択一必修,1,後期,,択一必修（左記の科目から2単位を修得すること）,,,,
物理学概論および演習B,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,後期,,,,,,
物理学概論および演習C,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,後期,,,,,,
科学技術概論A,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論B,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,,,,,
ワークショップ,2.0,共通教育科目,工学基礎科目,シ ョ ッ プ ワ ー ク,必修,1,前期,,,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,共通教育科目,工学基礎科目,情報,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,共通教育科目,工学基礎科目,情報,必修,1,前期,基礎要件,,,,,
ディジタル回路Ⅰ,2.0,専門教育科目,専門科目,学科基礎,必修,1,後期,114コンピュ・131情②,,,,,
確率・統計,2.0,専門教育科目,専門科目,学科基礎,必修,1,後期,113確統,,,,,
情報通信基礎,2.0,専門教育科目,専門科目,学科基礎,必修,1,後期,133情④,,,,,
情報通信とネットワーク,3.0,専門教育科目,専門科目,学科基礎,必修,2,前期,133情④,,,,,
データベースシステム,2.0,専門教育科目,専門科目,学科基礎,必修,2,前期,132情③,,,,,
コンピュータ構成,2.0,専門教育科目,専門科目,学科基礎,必修,2,前期,114コンピュ・131情②,,,,,
オペレーティングシステムⅠ,2.0,専門教育科目,専門科目,学科基礎,必修,2,後期,132情③,,,,,
情報化社会と法規,2.0,専門教育科目,専門科目,学科基礎,必修,3,後期,,,,,,
情報システムの基礎,2.0,専門教育科目,専門科目,学科基礎,必修,1,前期,114コンピュ・131情②,,,,,
基礎物理学,2.0,専門教育科目,専門科目,自然科学技術,選択,1,前期／後期,,後期は再履修クラスの開講,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,専門科目,専門数学,選択,1,後期,112解析,,,,,
代数学入門,2.0,専門教育科目,専門科目,専門数学,自由,1,後期,110代数,,,,,
線形代数学Ⅲ,2.0,専門教育科目,専門科目,専門数学,自由,2,前期,110代数,,,,,
幾何学,2.0,専門教育科目,専門科目,専門数学,自由,3,前期,111幾何,,,,,
微分幾何学,2.0,専門教育科目,専門科目,専門数学,自由,3,後期,111幾何,,,,,
IPネットワーク構築法,3.0,専門教育科目,専門科目,ネットワーク,選択,2,後期,133情④,,,,,
ネットワークセキュリティ,3.0,専門教育科目,専門科目,ネットワーク,選択,3,後期,133情④,,,,,
情報通信理論,2.0,専門教育科目,専門科目,ネットワーク,選択,2,後期,,,,,,
分散プログラミング,2.0,専門教育科目,専門科目,ネットワーク,選択,3,前期,,,,,,
ネットワークサービス構築法,3.0,専門教育科目,専門科目,ネットワーク,選択,3,前期,,,,,,
先進ネットワーキング,2.0,専門教育科目,専門科目,ネットワーク,選択,4,前期,,,,,,
情報技術演習,2.0,専門教育科目,専門科目,コンピュータ,選択,2,前期,,,,,,
先進コンピュータシステム,2.0,専門教育科目,専門科目,コンピュータ,選択,2,後期,,,,,,
オペレーティングシステムⅡ,2.0,専門教育科目,専門科目,コンピュータ,選択,3,前期,,,,,,
数値科学と数値計算,2.0,専門教育科目,専門科目,コンピュータ,選択,3,後期,112解析,,,,,
先進コンピュータプログラミング,2.0,専門教育科目,専門科目,コンピュータ,選択,4,前期,,,,,,
組込みシステム設計,3.0,専門教育科目,専門科目,コンピュータ,選択,4,前期,,,,,,
コンピュータプログラミングⅡ,2.0,専門教育科目,専門科目,プログラミング,必修,1,前期,114コンピュ・131情②,,,,,
コンピュータプログラミングⅢ,4.0,専門教育科目,専門科目,プログラミング,必修,1,後期,114コンピュ・131情②,,,,,
C言語プログラミング,2.0,専門教育科目,専門科目,プログラミング,必修,2,前期,114コンピュ・131情②,,,,,
データ構造とアルゴリズム,2.0,専門教育科目,専門科目,プログラミング,必修,2,後期,114コンピュ・131情②,,,,,
データ形式と演習,2.0,専門教育科目,専門科目,プログラミング,選択,3,前期,,,,,,
離散数学,2.0,専門教育科目,専門科目,プログラミング,選択,2,前期,114コンピュ,,,,,
UML演習,2.0,専門教育科目,専門科目,プログラミング,選択,2,後期,,,,,,
オブジェクト指向設計,2.0,専門教育科目,専門科目,プログラミング,選択,3,前期,,,,,,
多言語プログラミング,2.0,専門教育科目,専門科目,プログラミング,選択,3,後期,,,,,,
マルチメディア工学,2.0,専門教育科目,専門科目,プログラミング,選択,4,前期,134情⑤,,,,,
ソフトウェア工学,2.0,専門教育科目,専門科目,プログラミング,選択,4,前期,132情③,,,,,
データベース言語SQL,2.0,専門教育科目,専門科目,データサイエンス,選択,2,後期,132情③,,,,,
データウェアハウス,2.0,専門教育科目,専門科目,データサイエンス,選択,3,前期,132情③,,,,,
データマイニング,2.0,専門教育科目,専門科目,データサイエンス,選択,3,後期,132情③,,,,,
テキスト・画像・音声解析,2.0,専門教育科目,専門科目,データサイエンス,選択,3,後期,,,,,,
機械学習応用システム,2.0,専門教育科目,専門科目,データサイエンス,選択,4,前期,,,,,,
ベイズ統計学,2.0,専門教育科目,専門科目,データサイエンス,選択,2,前期,113確統,,,,,
多変量解析,2.0,専門教育科目,専門科目,データサイエンス,選択,2,後期,112解析,,,,,
データサイエンス基礎,2.0,専門教育科目,専門科目,データサイエンス,選択,3,前期,112解析,,,,,
数理最適化,2.0,専門教育科目,専門科目,データサイエンス,選択,3,後期,112解析,,,,,
機械学習,2.0,専門教育科目,専門科目,データサイエンス,選択,4,前期,132情③,,,,,
情報システム工学実験Ⅰ,2.0,専門教育科目,専門科目,演習プロジェクト,必修,3,前期,,アセスメント科目,,,,
情報システム工学実験Ⅱ,2.0,専門教育科目,専門科目,演習プロジェクト,必修,3,後期,,,,,,
卒業研究A,2.0,専門教育科目,専門科目,演習プロジェクト,必修,4,通年,,,,,,
卒業研究B,4.0,専門教育科目,専門科目,演習プロジェクト,選択,4,通年,,,,,,
挑戦型プロジェクト,4.0,専門教育科目,専門科目,演習プロジェクト,選択,3,通年,,,,,,
情報システム工学PBL,2.0,専門教育科目,専門科目,演習プロジェクト,選択,2,後期,,,,,,
システムデザイン工学FBL-A,2.0,専門教育科目,専門科目,演習プロジェクト,選択,34,前期,,,,,,
システムデザイン工学FBL-B,2.0,専門教育科目,専門科目,演習プロジェクト,選択,34,後期,,,,,,
インターンシップ,2.0,専門教育科目,専門科目,キャリア,選択,34,通年,,,,,,
