科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
メカトロニクス総合実験B,2.0,専門教育科目,専門科目,実験・実習,必修,3,前期／後期,160工業,,,,,
インターンシップ,2.0,専門教育科目,専門科目,アキ教ャ育リ,選択,34,通年,,,,,,
キャリアデザイン,2.0,専門教育科目,専門科目,アキ教ャ育リ,選択,3,前期,,,,,,
微分積分学Ⅱおよび演習,4.0,専門教育科目,専門科目,専門基礎,選択,1,後期,112解析,,,,,
線形代数学Ⅱ,2.0,専門教育科目,専門科目,専門基礎,必修,1,後期,110代数,,,,,
微分方程式Ⅰ,2.0,専門教育科目,専門科目,専門基礎,選択,12,前期,112解析,,,,,
微分方程式Ⅱ,2.0,専門教育科目,専門科目,専門基礎,選択,2,後期,112解析,,,,,
確率・統計Ⅰ,2.0,専門教育科目,専門科目,専門基礎,選択,12,前期,113確統,,,,,
確率・統計Ⅱ,2.0,専門教育科目,専門科目,専門基礎,選択,12,後期,113確統,,,,,
代数学入門,2.0,専門教育科目,専門科目,教職関連科目,自由,1,後期,110代数,,,,,
代数学,2.0,専門教育科目,専門科目,教職関連科目,自由,2,後期,110代数,,,,,
数式処理,2.0,専門教育科目,専門科目,教職関連科目,自由,2,前期,114コンピュ,,,,,
線形代数学Ⅲ,2.0,専門教育科目,専門科目,教職関連科目,自由,2,前期,110代数,,,,,
幾何学,2.0,専門教育科目,専門科目,教職関連科目,自由,3,前期,111幾何,,,,,
微分幾何学,2.0,専門教育科目,専門科目,教職関連科目,自由,3,後期,111幾何,,,,,
解析学,2.0,専門教育科目,専門科目,教職関連科目,自由,3,前期,112解析,,,,,
職業指導,2.0,専門教育科目,専門科目,教職関連科目,自由,3,前期,161職指,,,,,
工業技術概論,2.0,専門教育科目,専門科目,教職関連科目,自由,3,後期,160工業,,,,,
