科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
化学工学Ⅰ,2.0,専門教育科目,基幹科目,化学工学系,必修,2,前期,,,,,,
化学工学Ⅱ,2.0,専門教育科目,基幹科目,化学工学系,選択,2,後期,,,,,,
化学工学演習,2.0,専門教育科目,基幹科目,化学工学系,選択,2,前期,,,,,,
化学工学実験,1.0,専門教育科目,基幹科目,化学工学系,必修,2,後期,,,,,,
生物化学,2.0,専門教育科目,基幹科目,化学工学系,選択,2,後期,124生物,,,,,
応用化学工学実験,1.0,専門教育科目,基幹科目,化学工学系,必修,3,前期,,,,,,
反応工学,2.0,専門教育科目,基幹科目,化学工学系,選択,3,前期,,,,,,
生物化学工学,2.0,専門教育科目,基幹科目,化学工学系,選択,3,後期,,,,,,
微分方程式Ⅰ,2.0,専門教育科目,基幹科目,数学,選択,2,前期,,,,,,
数値解析学,2.0,専門教育科目,基幹科目,数学,選択,2,後期,,,,,,
微分積分学Ⅱおよび演習,4.0,専門教育科目,基幹科目,数学,選択,1,後期,,,,,,
線形代数学Ⅱ,2.0,専門教育科目,基幹科目,数学,選択,1,後期,,,,,,
物性物理学,2.0,専門教育科目,基幹科目,物理学,選択,2,後期,120物理,,,,,
固体物性,2.0,専門教育科目,基幹科目,物理学,選択,3,前期,120物理,,,,,
地学,2.0,専門教育科目,教職科目,物理学,選択,2,前期,126地学,,,,,
生体触媒工学,2.0,専門教育科目,教職科目,物理学,選択,3,前期,124生物,,,,,
総合物理学実験,1.0,専門教育科目,教職科目,物理学,選択,2,後期,129実験,集中科目,,,,
生物学実験,1.0,専門教育科目,教職科目,物理学,選択,2,後期,129実験,集中科目,,,,
地学実験,2.0,専門教育科目,教職科目,物理学,選択,2,前期,129実験,夏期集中講義,,,,
総合物理学,2.0,専門教育科目,教職科目,物理学,選択,2,前期,120物理,,,,,
