科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅰ,2.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
基礎物理学,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,後期は再履修クラスの開講,,,,
物理基礎および物理実験,1.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,週2コマ開講「化学基礎および化学実験」との隔週開講,,,,
化学基礎および化学実験,1.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,週2コマ開講「物理基礎および物理実験」との隔週開講,,,,
物理学概論および演習A,2.0,工学基礎科目,自然科学技術,,択一必修,1,後期,,択一必修（左記の科目から2単位を修得すること）,,,,
物理学概論および演習B,2.0,工学基礎科目,自然科学技術,,必修,1,後期,,,,,,
物理学概論および演習C,2.0,工学基礎科目,自然科学技術,,必修,1,後期,,,,,,
科学技術概論A,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論B,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
ワークショップ,2.0,工学基礎科目,シ ョ ッ プ ワ ー ク,,必修,1,前期,,,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,工学基礎科目,情報,,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,工学基礎科目,情報,,必修,1,後期,基礎要件,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,数学科目,,選択,1,後期,112解析,,,,,
線形代数学Ⅱ,2.0,専門教育科目,数学科目,,選択,1,後期,110代数,,,,,
微分方程式Ⅰ,2.0,専門教育科目,数学科目,,選択,2,前期,112解析,,,,,
微分方程式Ⅱ,2.0,専門教育科目,数学科目,,選択,2,後期,112解析,,,,,
ベクトルおよびテンソル,2.0,専門教育科目,数学科目,,選択,2,後期,112解析,,,,,
フーリエ解析,2.0,専門教育科目,数学科目,,選択,2,後期,112解析,,,,,
複素解析学Ⅰ,2.0,専門教育科目,数学科目,,選択,2,後期,112解析,,,,,
複素解析学Ⅱ,2.0,専門教育科目,数学科目,,選択,3,後期,112解析,,,,,
数値解析学,2.0,専門教育科目,数学科目,,選択,3,後期,112解析,,,,,
確率・統計Ⅰ,2.0,専門教育科目,数学科目,,選択,2,後期,113確統,,,,,
確率・統計Ⅱ,2.0,専門教育科目,数学科目,,選択,3,前期,113確統,,,,,
工業力学Ⅰおよび演習,3.0,専門教育科目,専門基礎科目,,必修,1,前期,160工業,,,,,
工業力学Ⅱおよび演習,3.0,専門教育科目,専門基礎科目,,選択,1,後期,160工業,,,,,
ワークショップⅡ,2.0,専門教育科目,専門基礎科目,,選択,1,後期,,,,,,
材料力学Ⅰおよび演習,3.0,専門教育科目,材料系科目,,必修,2,前期,160工業,,,,,
材料力学Ⅱ,2.0,専門教育科目,材料系科目,,選択,2,後期,160工業,,,,,
材料工学,2.0,専門教育科目,材料系科目,,選択,2,前期,160工業,,,,,
材料強度学,2.0,専門教育科目,材料系科目,,選択,3,後期,160工業,,,,,
弾塑性学,2.0,専門教育科目,材料系科目,,選択,3,前期,160工業,,,,,
加工学基礎および演習,3.0,専門教育科目,加工系科目,,必修,2,前期,160工業,,,,,
機械加工学,2.0,専門教育科目,加工系科目,,選択,3,前期,160工業,,,,,
流体の力学Ⅰおよび演習,3.0,専門教育科目,流体系科目,,必修,2,前期,160工業,,,,,
流体の力学Ⅱ,2.0,専門教育科目,流体系科目,,選択,3,前期,160工業,,,,,
粘性流体力学,2.0,専門教育科目,流体系科目,,選択,2,後期,160工業,,,,,
流体機械,2.0,専門教育科目,流体系科目,,選択,3,後期,160工業,,,,,
工業熱力学Ⅰおよび演習,3.0,専門教育科目,熱系科目,,必修,2,前期,160工業,,,,,
工業熱力学Ⅱ,2.0,専門教育科目,熱系科目,,選択,2,後期,160工業,,,,,
伝熱工学,2.0,専門教育科目,熱系科目,,選択,3,前期,160工業,,,,,
熱機関,2.0,専門教育科目,熱系科目,,選択,3,前期,160工業,,,,,
メカトロニクス概論,2.0,専門教育科目,振動制御科目,,選択,1,後期,131情②,,,,,
振動学および演習,3.0,専門教育科目,振動制御科目,,必修,2,後期,160工業,,,,,
応用振動学,2.0,専門教育科目,振動制御科目,,選択,3,前期,160工業,,,,,
制御工学Ⅰ,2.0,専門教育科目,振動制御科目,,選択,3,前期,131情②,,,,,
制御工学Ⅱ,2.0,専門教育科目,振動制御科目,,選択,3,後期,131情②,,,,,
ロボット工学,2.0,専門教育科目,振動制御科目,,選択,3,後期,132情③,,,,,
計測工学,2.0,専門教育科目,振動制御科目,,選択,3,前期,131情②,,,,,
機械要素設計および演習,3.0,専門教育科目,設計製図科目,,必修,2,後期,160工業,,,,,
計算機援用設計,2.0,専門教育科目,設計製図科目,,選択,3,前期,114コンピュ,,,,,
機械設計製図Ⅰ,2.0,専門教育科目,設計製図科目,,必修,2,前期,134情⑤,,,,,
機械設計製図Ⅱ,2.0,専門教育科目,設計製図科目,,必修,2,後期,132情③,,,,,
機械設計製図Ⅲ,2.0,専門教育科目,設計製図科目,,必修,3,前期,160工業,,,,,
3D-CADワークショップ,2.0,専門教育科目,設計製図科目,,選択,3,後期,,,,,,
機械工学実験実習Ⅰ,2.0,専門教育科目,実験実習科目,,必修,2,前期,160工業,,,,,
機械工学実験実習Ⅱ,2.0,専門教育科目,実験実習科目,,必修,2,後期,160工業,,,,,
機械工学総合演習Ⅰ,2.0,専門教育科目,実験実習科目,,必修,3,前期,160工業,実験・アセスメント科目,,,,
品質管理,2.0,専門教育科目,その他科目,,自由,4,後期,,,,,,
機械工学総合演習Ⅱ,2.0,専門教育科目,その他科目,,必修,3,後期,160工業,輪講・アセスメント科目,,,,
インターンシップ,2.0,専門教育科目,その他科目,,選択,3,通年,,,,,,
卒業研究,6.0,専門教育科目,その他科目,,必修,4,通年,,,,,,
職業指導,2.0,専門教育科目,教職科目,,自由,3,前期,161職指,,,,,
コンピュータ基礎および演習Ⅲ,2.0,専門教育科目,教職科目,,自由,2,前期,131情②,,,,,
情報システムの基礎および演習,2.0,専門教育科目,教職科目,,自由,2,後期,132情③,,,,,
情報通信ネットワークの基礎および演習,2.0,専門教育科目,教職科目,,自由,2,後期,133情④,,,,,
マルチメディア表現技術の基礎および演習,2.0,専門教育科目,教職科目,,自由,2,前期,134情⑤,,,,,
線形代数学Ⅲ,2.0,専門教育科目,教職科目,,自由,2,前期,110代数,,,,,
数式処理,2.0,専門教育科目,教職科目,,自由,2,前期,114コンピュ,,,,,
代数学入門,2.0,専門教育科目,教職科目,,自由,1,後期,110代数,,,,,
代数学,2.0,専門教育科目,教職科目,,自由,2,後期,110代数,,,,,
解析学,2.0,専門教育科目,教職科目,,自由,3,前期,112解析,,,,,
幾何学,2.0,専門教育科目,教職科目,,自由,3,前期,111幾何,,,,,
微分幾何学,2.0,専門教育科目,教職科目,,自由,3,後期,111幾何,,,,,
工業技術概論,2.0,専門教育科目,教職科目,,自由,3,後期,160工業,,,,,
