科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅰ,2.0,共通教育科目,工学基礎科目,数学,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅱ,2.0,共通教育科目,工学基礎科目,数学,必修,1,後期,110代数,,,,,
基礎物理学,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,後期は再履修クラスの開講,,,,
物理リテラシー,2.0,共通教育科目,工学基礎科目,自然科学技術,必修,1,前期／後期,,週2コマ隔週開講初回の履修は前期開講のクラスが対象となる,,,,
化学リテラシー,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論A,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論B,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論C,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論D,2.0,共通教育科目,工学基礎科目,自然科学技術,選択,1,前期／後期,,,,,,
ワークショップ,2.0,共通教育科目,工学基礎科目,ワークショップ,必修,1,後期,,,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,共通教育科目,工学基礎科目,情報,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,共通教育科目,工学基礎科目,情報,必修,1,後期,基礎要件,,,,,
機構学,2.0,専門教育科目,専門科目,機械,必修,1,後期,160工業,,,,,
工業力学Ⅰ,2.0,専門教育科目,専門科目,機械,選択,12,前期,160工業,,,,,
工業力学Ⅱ,2.0,専門教育科目,専門科目,機械,選択,12,後期,160工業,,,,,
ロボット工学,2.0,専門教育科目,専門科目,機械,選択,12,後期,160工業,,,,,
材料力学,2.0,専門教育科目,専門科目,機械,選択,3,前期,160工業,,,,,
熱・流体力学,2.0,専門教育科目,専門科目,機械,選択,3,後期,160工業,,,,,
材料学・加工学,2.0,専門教育科目,専門科目,機械,選択,3,後期,160工業,,,,,
電磁気学,2.0,専門教育科目,専門科目,電気,必修,1,後期,160工業,,,,,
電気回路,2.0,専門教育科目,専門科目,電気,選択,12,前期,160工業,,,,,
応用電気工学,2.0,専門教育科目,専門科目,電気,選択,12,後期,160工業,,,,,
電子工学,2.0,専門教育科目,専門科目,電気,選択,3,前期,160工業,,,,,
ディジタル回路,2.0,専門教育科目,専門科目,電気,選択,3,後期,131情②,,,,,
信号処理,2.0,専門教育科目,専門科目,電気,選択,3,後期,134情⑤,,,,,
コンピュータ基礎,2.0,専門教育科目,専門科目,情報,必修,1,前期,131情②,,,,,
アルゴリズムとデータ構造,2.0,専門教育科目,専門科目,情報,選択,12,前期,131情②,,,,,
情報理論,2.0,専門教育科目,専門科目,情報,選択,12,後期,133情④,,,,,
コンピュータネットワーク,2.0,専門教育科目,専門科目,情報,選択,3,前期,133情④,,,,,
コンピュータビジョンとAI,2.0,専門教育科目,専門科目,情報,選択,3,前期,134情⑤,,,,,
オペレーティングシステム,2.0,専門教育科目,専門科目,情報,選択,3,後期,132情③,,,,,
動的システム基礎,2.0,専門教育科目,専門科目,制御,必修,2,前期,160工業,,,,,
制御工学Ⅰ,2.0,専門教育科目,専門科目,制御,選択,12,後期,160工業,,,,,
計測工学,2.0,専門教育科目,専門科目,制御,選択,3,前期,160工業,,,,,
制御工学II,2.0,専門教育科目,専門科目,制御,選択,3,前期,160工業,,,,,
現代制御論,2.0,専門教育科目,専門科目,制御,選択,3,後期,160工業,,,,,
メカトロニクス基礎ゼミI,2.0,専門教育科目,専門科目,プロジェクト・研究,必修,1,前期,,,,,,
メカトロニクス基礎ゼミII,2.0,専門教育科目,専門科目,プロジェクト・研究,必修,2,後期,,,,,,
メカトロニクスゼミⅠ,2.0,専門教育科目,専門科目,プロジェクト・研究,必修,3,前期,,,,,,
メカトロニクスゼミⅡ,2.0,専門教育科目,専門科目,プロジェクト・研究,必修,3,後期,,アセスメント科目,,,,
メカトロニクス設計製作Ⅰ,1.0,専門教育科目,専門科目,プロジェクト・研究,必修,4,前期,160工業,,,,,
メカトロニクス設計製作Ⅱ,1.0,専門教育科目,専門科目,プロジェクト・研究,必修,4,後期,160工業,,,,,
卒業研究Ⅰ,3.0,専門教育科目,専門科目,プロジェクト・研究,必修,4,前期,,,,,,
卒業研究Ⅱ,3.0,専門教育科目,専門科目,プロジェクト・研究,必修,4,後期,,,,,,
離散数学Ⅰ,2.0,専門教育科目,専門科目,専門数学,必修,1,後期,114コンピュ,,,,,
離散数学Ⅱ,2.0,専門教育科目,専門科目,専門数学,選択,12,後期,114コンピュ,,,,,
工業数学Ⅰ,2.0,専門教育科目,専門科目,専門数学,必修,2,前期,112解析,,,,,
工業数学Ⅱ,2.0,専門教育科目,専門科目,専門数学,選択,12,後期,112解析,,,,,
フーリエ解析,2.0,専門教育科目,専門科目,専門数学,選択,3,前期,112解析,,,,,
数値解析,2.0,専門教育科目,専門科目,専門数学,選択,3,前期,131情②,,,,,
最適化法,2.0,専門教育科目,専門科目,専門数学,選択,3,後期,112解析,,,,,
機械製図Ⅰ,2.0,専門教育科目,専門科目,実験・実習,必修,1,前期,160工業,,,,,
機械製図Ⅱ,2.0,専門教育科目,専門科目,実験・実習,選択,12,前期,160工業,,,,,
コンピュータプログラミングⅡ,2.0,専門教育科目,専門科目,実験・実習,必修,2,前期,131情②,,,,,
メカトロニクス基礎実験A,2.0,専門教育科目,専門科目,実験・実習,必修,2,前期／後期,134情⑤,,,,,
メカトロニクス基礎実験B,2.0,専門教育科目,専門科目,実験・実習,必修,2,前期／後期,160工業,,,,,
メカトロニクス総合実験A,2.0,専門教育科目,専門科目,実験・実習,必修,3,前期／後期,133情④,,,,,
メカトロニクス総合実験B,2.0,専門教育科目,専門科目,実験・実習,必修,3,前期／後期,160工業,,,,,
インターンシップ,2.0,専門教育科目,専門科目,キ アャ 教リ 育,選択,34,通年,,,,,,
キャリアデザイン,2.0,専門教育科目,専門科目,キ アャ 教リ 育,選択,3,前期,,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,専門科目,専門基礎,選択,1,後期,112解析,,,,,
微分方程式Ⅰ,2.0,専門教育科目,専門科目,専門基礎,選択,12,前期,112解析,,,,,
微分方程式Ⅱ,2.0,専門教育科目,専門科目,専門基礎,選択,2,後期,112解析,,,,,
確率・統計Ⅰ,2.0,専門教育科目,専門科目,専門基礎,選択,12,前期,113確統,,,,,
確率・統計Ⅱ,2.0,専門教育科目,専門科目,専門基礎,選択,12,後期,113確統,,,,,
代数学入門,2.0,専門教育科目,専門科目,教職関連科目,自由,1,後期,110代数,,,,,
代数学,2.0,専門教育科目,専門科目,教職関連科目,自由,2,後期,110代数,,,,,
数式処理,2.0,専門教育科目,専門科目,教職関連科目,自由,2,前期,114コンピュ,,,,,
線形代数学Ⅲ,2.0,専門教育科目,専門科目,教職関連科目,自由,2,前期,110代数,,,,,
幾何学,2.0,専門教育科目,専門科目,教職関連科目,自由,3,前期,111幾何,,,,,
微分幾何学,2.0,専門教育科目,専門科目,教職関連科目,自由,3,後期,111幾何,,,,,
解析学,2.0,専門教育科目,専門科目,教職関連科目,自由,3,前期,112解析,,,,,
職業指導,2.0,専門教育科目,専門科目,教職関連科目,自由,3,前期,161職指,,,,,
工業技術概論,2.0,専門教育科目,専門科目,教職関連科目,自由,3,後期,160工業,,,,,
