科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること。,,,,
線形代数学Ⅰ,2.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること。,,,,
線形代数学Ⅱ,2.0,工学基礎科目,数学,,必修,1,後期,110代数,「線形代数学Ⅱ」「基礎物理学」「化学リテラシー」「科学技術概論A～D」のいずれかから4単位を取得すること,,,,
基礎物理学,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,「線形代数学Ⅱ」「基礎物理学」「化学リテラシー」「科学技術概論A～D」のいずれかから4単位を取得すること後期は再履修クラスの開講,,,,
物理リテラシー,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,週2コマ隔週開講初回の履修は前期開講のクラスが対象となる,,,,
化学リテラシー,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,「線形代数学Ⅱ」「基礎物理学」「化学リテラシー」「科学技術概論A～D」のいずれかから4単位を取得すること,,,,
科学技術概論A,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論B,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
ワークショップ,2.0,工学基礎科目,シ ョ ッ プ ワ ー ク,,必修,1,前期,,,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,工学基礎科目,情報,,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,工学基礎科目,情報,,必修,1,後期,基礎要件,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,（専数門学科）目,,選択,1,後期,112解析,,,,,
微分方程式Ⅰ,2.0,専門教育科目,（専数門学科）目,,選択,2,前期,112解析,,,,,
フーリエ解析,2.0,専門教育科目,（専数門学科）目,,選択,2,後期,112解析,,,,,
建築設計製図Ⅰ,2.0,専門教育科目,専門科目,,必修,1,前期,160工業,,,,,
絵画,1.0,専門教育科目,専門科目,,選択,1,前期,,,,,,
建築概論,2.0,専門教育科目,専門科目,,必修,1,後期,160工業,,,,,
建築設計製図Ⅱ,4.0,専門教育科目,専門科目,,必修,1,後期,160工業,,,,,
音・光環境工学,2.0,専門教育科目,専門科目,,必修,1,後期,160工業,,,,,
建築力学・演習Ⅰ,3.0,専門教育科目,専門科目,,必修,1,後期,160工業,,,,,
デジタルデザインⅠ,2.0,専門教育科目,専門科目,,必修,2,前期,160工業,,,,,
建築設計製図Ⅲ,4.0,専門教育科目,専門科目,,必修,2,前期,160工業,,,,,
建築計画,2.0,専門教育科目,専門科目,,必修,2,前期,160工業,,,,,
建築史Ⅰ,2.0,専門教育科目,専門科目,,必修,2,前期,160工業,,,,,
熱環境工学,2.0,専門教育科目,専門科目,,必修,2,前期,160工業,,,,,
建築力学・演習Ⅱ,3.0,専門教育科目,専門科目,,必修,2,前期,160工業,,,,,
デジタルデザインⅡ,2.0,専門教育科目,専門科目,,必修,2,前期／後期,160工業,,,,,
建築設計製図Ⅳ,4.0,専門教育科目,専門科目,,必修,2,後期,160工業,,,,,
構造設計基礎Ⅰ,1.0,専門教育科目,専門科目,,必修,2,前期,160工業,,,,,
地域施設計画,2.0,専門教育科目,専門科目,,必修,2,後期,160工業,,,,,
建築史Ⅱ,2.0,専門教育科目,専門科目,,選択,2,後期,160工業,,,,,
建築設備概論,2.0,専門教育科目,専門科目,,必修,2,後期,160工業,,,,,
建築構法,2.0,専門教育科目,専門科目,,必修,2,後期,160工業,,,,,
構造設計基礎Ⅱ,1.0,専門教育科目,専門科目,,必修,2,後期,160工業,,,,,
デジタルデザインⅢ,2.0,専門教育科目,専門科目,,選択,3,前期／後期,160工業,,,,,
建築リノベーション計画,1.0,専門教育科目,専門科目,,選択,3,前期,160工業,,,,,
建築耐震リノベーション概論,1.0,専門教育科目,専門科目,,選択,3,前期／後期,160工業,,,,,
建築設計製図Ⅴ,4.0,専門教育科目,専門科目,,必修,3,前期,160工業,,,,,
建築都市デザイン,2.0,専門教育科目,専門科目,,選択,3,前期,160工業,,,,,
都市計画,2.0,専門教育科目,専門科目,,必修,3,前期,160工業,,,,,
空気環境工学,2.0,専門教育科目,専門科目,,選択,3,前期,,,,,,
鉄筋コンクリート構造,2.0,専門教育科目,専門科目,,必修,3,前期,160工業,,,,,
材料・構造実験,1.0,専門教育科目,専門科目,,選択,3,前期,160工業,履修者数に応じて前半7週、後半7週のクラスに分かれ、1週2コマ×7週＝14週相当の授業時間で実施。,,,,
建築材料,2.0,専門教育科目,専門科目,,必修,2,後期,160工業,,,,,
建築生産,2.0,専門教育科目,専門科目,,必修,3,前期,,,,,,
建築学総合演習,2.0,専門教育科目,専門科目,,必修,3,後期,,アセスメント科目,,,,
建築設計製図Ⅵ,4.0,専門教育科目,専門科目,,必修,3,後期,160工業,,,,,
建築構造解析,2.0,専門教育科目,専門科目,,選択,3,後期,160工業,,,,,
鉄骨構造,2.0,専門教育科目,専門科目,,必修,3,前期,160工業,,,,,
建築環境学演習,2.0,専門教育科目,専門科目,,選択,3,後期,160工業,,,,,
建築法規,1.0,専門教育科目,専門科目,,必修,3,前期／後期,160工業,,,,,
地域整備計画,2.0,専門教育科目,専門科目,,選択,3,後期,160工業,,,,,
建築力学Ⅲ,2.0,専門教育科目,専門科目,,選択,3,後期,160工業,,,,,
特別研究Ⅰ,2.0,専門教育科目,専門科目,,必修,4,前期,,,,,,
特別設計Ⅰ,4.0,専門教育科目,専門科目,,選択,4,前期,,,,,,
特別研究・設計Ⅱ,4.0,専門教育科目,専門科目,,必修,4,後期,,,,,,
建築インターンシップ,2.0,専門教育科目,専門科目,,選択,4,後期,,,,,,
代数学入門,2.0,専門教育科目,教職関連科目,,自由,1,後期,110代数,,,,,
数式処理,2.0,専門教育科目,教職関連科目,,自由,2,前期,114コンピュ,,,,,
線形代数学Ⅲ,2.0,専門教育科目,教職関連科目,,自由,2,前期,110代数,,,,,
確率・統計Ⅰ,2.0,専門教育科目,教職関連科目,,自由,2,前期,113確統,,,,,
複素解析学Ⅰ,2.0,専門教育科目,教職関連科目,,自由,2,前期,112解析,,,,,
代数学,2.0,専門教育科目,教職関連科目,,自由,2,後期,110代数,,,,,
確率・統計Ⅱ,2.0,専門教育科目,教職関連科目,,自由,2,後期,113確統,,,,,
解析学,2.0,専門教育科目,教職関連科目,,自由,3,前期,112解析,,,,,
幾何学,2.0,専門教育科目,教職関連科目,,自由,3,前期,111幾何,,,,,
微分幾何学,2.0,専門教育科目,教職関連科目,,自由,3,後期,111幾何,,,,,
複素解析学Ⅱ,2.0,専門教育科目,教職関連科目,,自由,3,後期,112解析,,,,,
微分方程式Ⅱ,2.0,専門教育科目,教職関連科目,,自由,2,後期,112解析,,,,,
職業指導,2.0,専門教育科目,教職関連科目,,自由,3,前期,161職指,,,,,
工業技術概論,2.0,専門教育科目,教職関連科目,,自由,3,後期,160工業,,,,,
