科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
電子回路,2.0,専門教育科目,工学専門,電気電子系,選択,3,前期,160工業・1710機電,,,,,
信号処理応用,2.0,専門教育科目,工学専門,電気電子系,選択,3,前期,1340情⑤,,,,,
音響工学,2.0,専門教育科目,工学専門,電気電子系,選択,34,前期／後期,160工業,,,,,
応用音響工学,2.0,専門教育科目,工学専門,電気電子系,選択,3,後期,,,,,,
計測工学,2.0,専門教育科目,工学専門,電気電子系,選択,34,後期,160工業・1710機電,,,,,
材料と加工学,2.0,専門教育科目,工学専門,機械系,選択,2,後期,160工業・1700材料,,,,,
機械力学,2.0,専門教育科目,工学専門,機械系,選択,2,後期,160工業,,,,,
機構・機械要素設計,2.0,専門教育科目,工学専門,機械系,選択,3,前期／後期,160工業・1710機電,,,,,
生体工学,2.0,専門教育科目,工学専門,機械系,選択,34,後期,160工業,,,,,
モデルベースデザイン,2.0,専門教育科目,工学専門,機械系,選択,3,後期,160工業・1710機電,,,,,
コンピュータアーキテクチャ,2.0,専門教育科目,工学専門,情報系,選択,2,前期,1310情②・1730情報,,,,,
情報通信とネットワーク,2.0,専門教育科目,工学専門,情報系,選択,2,後期,1330情④,,,,,
プログラム工学,2.0,専門教育科目,工学専門,情報系,選択,2,後期,1310情②・1730情報,,,,,
マルチメディア構成と演習,2.0,専門教育科目,工学専門,情報系,選択,3,前期,1340情⑤,,,,,
データ構造とアルゴリズム,2.0,専門教育科目,工学専門,情報系,選択,3,後期,1310情②・1730情報,,,,,
データベースと情報検索,2.0,専門教育科目,工学専門,情報系,選択,34,前期,1320情③,,,,,
IoT組み込みプログラミング,2.0,専門教育科目,工学専門,情報系,選択,34,前期,1310情②・1730情報,,,,,
インターンシップ,2.0,専門教育科目,キ教ャ育リア,情報系,選択,34,通年,,,,,,
デザイン工学総合ゼミⅠ,1.0,専門教育科目,キ教ャ育リア,情報系,必修,3,前期,,アセスメント科目,,,,
デザイン工学総合ゼミⅡ,1.0,専門教育科目,キ教ャ育リア,情報系,必修,3,後期,,アセスメント科目,,,,
職業指導,2.0,教職科目,キ教ャ育リア,情報系,自由,3,前期,161職指,,,,,
栽培,1.0,教職科目,キ教ャ育リア,情報系,自由,2,前期,1720生物,前期集中,,,,
工業技術概論,2.0,教職科目,キ教ャ育リア,情報系,自由,3,後期,160工業,,,,,
