科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
データサイエンスⅡ,2.0,専門教育科目,専門科目,データサイエンス,選択,3,前期,112解析,,,,,
データサイエンスⅢ,2.0,専門教育科目,専門科目,データサイエンス,選択,3,後期,1320情③,,,,,
数理最適化,2.0,専門教育科目,専門科目,データサイエンス,選択,3,後期,112解析,,,,,
機械学習Ⅰ,2.0,専門教育科目,専門科目,データサイエンス,選択,3,後期,1320情③,,,,,
機械学習Ⅱ,2.0,専門教育科目,専門科目,データサイエンス,選択,4,前期,,,,,,
情報システム工学実験Ⅰ,2.0,専門教育科目,専門科目,演習プロジェクト,必修,3,前期,,アセスメント科目,,,,
情報システム工学実験Ⅱ,2.0,専門教育科目,専門科目,演習プロジェクト,必修,3,後期,,,,,,
卒業研究A,2.0,専門教育科目,専門科目,演習プロジェクト,必修,4,通年,,,,,,
卒業研究B,4.0,専門教育科目,専門科目,演習プロジェクト,選択,4,通年,,,,,,
挑戦型プロジェクト,4.0,専門教育科目,専門科目,演習プロジェクト,選択,3,通年,,,,,,
情報システム工学PBL,2.0,専門教育科目,専門科目,演習プロジェクト,選択,2,後期,,,,,,
システムデザイン工学FBL-A,2.0,専門教育科目,専門科目,学部共通,選択,34,前期,,,,,,
システムデザイン工学FBL-B,2.0,専門教育科目,専門科目,学部共通,選択,34,後期,,,,,,
インターンシップ,2.0,専門教育科目,専門科目,キャリア,選択,34,通年,,,,,,
